Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,109.919998,110.239998,108.349998,109.449997,107.318764,1198500
2016-01-05,110.169998,110.769997,109.160004,110.110001,107.965919,1078000
2016-01-06,108.419998,109.68,108.239998,109.230003,107.103058,575100
2016-01-07,107.339996,108.440002,105.139999,105.290001,103.239784,1087900
2016-01-08,105.75,105.93,102.040001,102.239998,100.249161,1421200
2016-01-11,103.019997,103.120003,100.75,101.830002,99.847145,1380100
2016-01-12,102.470001,103.150002,100.959999,102.419998,100.425674,1186100
2016-01-13,102.839996,103.730003,100.629997,101.040001,99.072533,1011400
2016-01-14,101.0,104.150002,100.349998,103.459999,101.445419,1263200
2016-01-15,100.68,103.300003,100.510002,102.860001,100.857094,953700
2016-01-19,103.940002,104.300003,102.93,103.860001,101.837631,1054400
2016-01-20,102.199997,102.82,98.400002,101.68,99.700066,886500
2016-01-21,102.0,103.32,100.879997,102.620003,100.621765,863000
2016-01-22,103.870003,104.870003,103.709999,104.839996,102.798538,708800
2016-01-25,104.629997,104.699997,103.720001,104.139999,102.112167,1024000
2016-01-26,104.309998,105.379997,104.010002,104.849998,102.808342,691100
2016-01-27,104.709999,105.18,102.470001,102.980003,100.974762,827800
2016-01-28,103.559998,103.68,101.650002,101.769997,99.788315,931500
2016-01-29,102.760002,105.860001,102.220001,105.800003,103.739853,1238100
2016-02-01,105.050003,107.389999,104.739998,106.919998,104.838043,986600
2016-02-02,106.010002,106.510002,103.290001,103.75,101.729767,854600
2016-02-03,104.489998,104.839996,100.870003,103.169998,101.161049,766700
2016-02-04,103.120003,104.160004,102.599998,103.669998,101.651321,576200
2016-02-05,103.269997,103.760002,99.529999,99.879997,97.935112,1049000
2016-02-08,99.120003,99.300003,92.809998,93.900002,92.071556,1683700
2016-02-09,92.650002,94.220001,92.260002,93.220001,91.404808,1661300
2016-02-10,93.940002,95.510002,93.010002,94.519997,92.679497,1549200
2016-02-11,93.959999,96.629997,91.720001,93.449997,91.630333,1635800
2016-02-12,95.300003,99.139999,95.300003,97.470001,95.572052,1402600
2016-02-16,98.970001,99.940002,97.610001,99.169998,97.238945,1327800
2016-02-17,100.089996,101.959999,99.489998,101.790001,99.80793,1054600
2016-02-18,102.220001,102.550003,100.410004,100.889999,98.925453,768100
2016-02-19,100.440002,101.139999,99.790001,100.989998,99.023499,1542500
2016-02-22,101.830002,103.669998,101.830002,103.360001,101.347374,923200
2016-02-23,103.260002,103.800003,102.080002,103.139999,101.131638,624200
2016-02-24,102.449997,104.540001,101.290001,104.440002,102.406326,788900
2016-02-25,103.800003,106.580002,103.800003,106.529999,104.455627,924600
2016-02-26,106.730003,107.080002,105.93,106.370003,104.298759,629900
2016-02-29,106.029999,106.529999,104.779999,104.879997,102.837753,652900
2016-03-01,105.589996,107.089996,105.18,106.489998,104.745995,637900
2016-03-02,105.989998,107.040001,105.410004,107.0,105.247643,595200
2016-03-03,106.699997,107.169998,105.919998,107.129997,105.375504,513100
2016-03-04,107.0,108.639999,105.970001,107.660004,105.896828,814800
