Income_to_poverty_ratio_range,Obese Rate
0-0.5,0.10305343511450382
0.5-1,0.0755939524838013
1-1.25,0.12376237623762376
1.25-2,0.08375634517766498
2-3,0.07514450867052024
3-4,0.09803921568627451
4-5,0.09154929577464789
5-6,0.044642857142857144
