,date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause
179,1998-09-29,Antonov An-24rv,"off coast of Mannar District, Sri Lanka",Sri Lanka,EW-46465,Lionair,55,47,C1,en_route,suspected,criminal,shot down
180,1998-10-10,Boeing 727-30,near Kindu,DR Congo,9Q-CSG,Lignes Aériennes Congolaises,41,42,C1,en_route,confirmed,criminal,shot down
181,1998-11-01,Douglas C-47A-90-DL (DC-3C),near Quetzaltenango,Guatemala,N3FY,Living Water Teaching Ministries,11,27,A1,approach,probable,weather,low visibility
182,1998-12-11,Airbus A310-324,Surat Thani,Thailand,HS-TIA,Thai Airways International,101,60,A1,approach,suspected,weather,bad weather
183,1999-02-24,Tupolev Tu-154M,Ruian,China,B-2622,China Southwest Airlines,61,49,A1,approach,confirmed,mechanical,mechanical failure
184,1999-02-25,Dornier 328-110,Genoa-Cristo,Italy,D-CPRR,Minerva Airlines,4,20,A1,landing,suspected,weather,bad weather
185,1999-04-08,DHC-6 Twin Otter 300,near Málaga,Colombia,HK-2760,Aerotaca,5,21,A1,en_route,probable,weather,low visibility
186,1999-04-07,Boeing 737-400,near Ceyhan,Turkey,TC-JEP,Turkish Airlines,6,22,A1,en_route,probable,weather,bad weather
187,1999-05-08,DHC-6 Twin Otter 300,near Port Vila,Vanuatu,YJ-RV9,Vanair,7,23,A1,en_route,probable,weather,bad weather
188,1999-06-01,Douglas Md-82,Little Rock National Airport,USA,N215AA,American Airlines,11,27,A1,landing,confirmed,human_error,pilot & crew error
189,1999-06-17,Embraer 110P2 Bandeirante,near Goroka,papua New Guinea,P2-ALX,Airlink,17,31,A1,en_route,suspected,human_error,pilot error
190,1999-07-04,Douglas DC-6A,Villavicencio-La Vanguardia Airport,Colombia,HK-1776,LANC Colombia,4,20,A1,landing,confirmed,human_error,pilot & crew error
191,1999-07-24,Embraer 110P1 Bandeirante,near Delailasakau,Fiji,DQ-AFN,Air Fiji,17,31,A1,en_route,probable,human_error,pilot error
192,1999-08-07,Dornier 228-201,Santo Antão,Cape Verde,D4-CBC,TACV Cabo Verde Airlines,18,31,A1,en_route,suspected,weather,low visibility
193,1999-08-12,Beechcraft 1900D,near Sept-Îles Airport,Canada,C-FLIH,Regionnair,1,15,A1,approach,probable,human_error,pilot error
194,1999-08-22,Douglas MD-11,Chek Lap Kok International Airport,Hong Kong,B-150,China Airlines,3,19,A1,landing,suspected,human_error,pilot error
195,1999-08-24,MD-90-30,Hualien Airport,Taiwan,B-17912,Uni Air,1,15,A1,landing,probable,human_error,passenger error
196,1999-08-26,Yakovlev 40,near Turtkul Airport,Uzbekistan,UK-87848,Uzbekistan Airways,2,17,A1,landing,probable,human_error,pilot error
197,1999-08-31,Boeing 737-204C,Buenos Aires-Jorge Newbery Airport,Argentina,LV-WRZ,Líneas Aéreas Privadas Argentinas,65,50,A1,takeoff,probable,human_error,pilot & crew error
198,1999-09-05,British Aerospace BAe-748-501,near Kathmandu-Tribhuvan Airport,Nepal,9N-AEG,Necon Air,15,29,A1,approach,probable,human_error,pilot error
199,1999-10-31,Boeing 767-366ER,"near Nantucket Island, MA",USA,SU-GAP,EgyptAir,217,84,A1,en_route,probable,human_error,crew error
200,1999-11-09,Douglas DC-9-31F,near Uruapan,Mexico,XA-TKN,TAESA Lineas Aéreas,18,31,A1,en_route,probable,human_error,pilot & crew error
201,1999-11-12,ATR-42-312,near Mitrovica,Serbia,F-OHFV,"SiFly, operating for UN",24,34,A1,en_route,probable,human_error,pilot & crew error
202,1999-12-07,Let L-410UVP-E,Kasibu,Philippines,RP-C3883,Asian Spirit,17,31,A1,en_route,unknown,unknown,unknown
203,1999-12-11,British Aerospace ATP,Sao Jorge Island,Portugal,CS-TGM,SATA Air Açores,35,40,A1,en_route,probable,weather,low visibility
204,1999-12-21,Douglas DC-10-30,Guatemala City-La Aurora Airport,Guatemala,F-GTDI,Cubana de Aviación,18,31,A1,landing,probable,weather,wet runway
205,1999-12-24,Airbus A300B2-101,Kandahar Airport,Afghanistan,VT-EDW,Indian Airlines,1,15,H2,en_route,confirmed,criminal,hostage situation
206,1999-12-25,Yakovlev 42D,Bejuma,Venezuela,CU-T1285,Cubana de Aviación,22,33,A1,approach,probable,human_error,pilot error
207,1999-12-25,DHC-6 Twin Otter 300,near Simra Airport,Nepal,9N-AFL,Skyline Airways,10,26,A1,en_route,unknown,unknown,unknown
208,2000-01-05,Embraer 110P1A Bandeirante,Abuja International Airport,Nigeria,5N-AXL,Skypower Express,2,17,A1,approach,suspected,mechanical,engine failure
209,2000-01-10,Saab 340B,near Nassenwil,Switzerland,HB-AKK,Crossair,10,26,A1,en_route,suspected,human_error,pilot error
210,2000-01-13,Shorts 360-300,near Marsa el-Brega,Libya,HB-AAM,"Avisto, operating for Sirte Oil Company",22,33,A1,approach,unknown,unknown,
211,2000-01-15,Let L-410UVP-E,San José,Costa Rica,YS-09-C,TACSA,5,21,A1,en_route,suspected,human_error,pilot error
212,2000-01-30,Airbus A310-304,near Abidjan-Felix Houphouet Boigny Airport,Kenya,5Y-BEN,Kenya Airways,169,75,A1,take off,confirmed,human_error,pilot error
213,2000-01-31,MD-83,near Anacapa Island,USA,N963AS,Alaska Airlines,88,57,A1,en_route,confirmed,human_error,maintenance error
214,2000-02-08,Embraer 110P2 Bandeirante,Maputo,Mozambique,C9-AUH,Sabin Air,1,15,A1,initial_climb,unknown,unknown,unknown
215,2000-03-09,Yakovlev 40D,Moskva-Sheremetyevo Airport ,Russia,RA-88170,Vologoda Air,9,25,A1,initial_climb,confirmed,weather,bad weather
216,2000-03-17,DHC-6 Twin Otter 300,near Carreto,Panama,HP-1267APP,AeroPerlas,10,26,A1,en_route,unknown,unknown,unknown
217,2000-03-25,Antonov 32,Huambo Airport,Angola,D2-MAJ,Uralex,3,19,A1,takeoff,confirmed,mechanical,brake failure
218,2000-04-19,Boeing 737-2H4,near Davao,Philippines,RP-C3010,Air Philippines,131,67,A1,approach,suspected,human_error,pilot error
219,2000-05-17,Beechcraft 1900C-1,near Moanda Airport,Gabon,TR-LFK,Avirex,3,19,A1,approach,suspected,weather,bad weather
220,2000-05-21,British Aerospace 3102 Jetstream,near Wilkes-Barre Airport,USA,N16EJ,East Coast Aviation Services,19,32,A1,approach,confirmed,human_error,pilot error
221,2000-06-05,Fokker F-27 Friendship 600,Accra-Kotoka International Airport ,Ghana,G 524,Ghana Airlink,7,23,A1,landing,suspected,human_error,pilot error
222,2000-06-22,Xian Yunshuji Y-7-100C,near Wuhan,China,B-3479,Wuhan Airlines,49,45,A1,approach,confirmed,weather,bad weather
223,2000-07-08,British Aerospace 3201 Jetstream,near Chulum Juarez,Mexico,N912FJ,Aerocaribe,19,32,A1,en_route,confirmed,weather,bad weather
224,2000-07-17,Boeing 737-2A8,near Patna Airport,India,VT-EGD,Alliance Air,60,49,A1,approach,confirmed,human_error,pilot error
225,2000-07-25,Aérospatiale / BAC Concorde 10,Gonesse,France,F-BTSC,Air France,113,63,A1,take off,confirmed,mechanical,mechanical failure
226,2000-07-27,DHC-6 Twin Otter 300,Jarayakhali hill,Nepal,9N-ABP,Royal Nepal Airlines,25,35,A1,en_route,suspected,human_error,pilot error
227,2000-08-12,Antonov 26B,near Tshikapa,Congo,,STAER Airlines,27,36,A1,unknown,unknown,unknown,unknown
