,date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause
319,2005-06-02,Antonov 24B,Khartoum-Civil Airport ,Sudan,ST-WAL,"al-Majal Company, operating for Marsland Aviation",7,23,A1,Takeoff,probable,mechanical,engine failure
320,2005-07-16,Antonov 24B,near Baney,Equatorial Guinea,3C-VQR,Equatorial Express Airlines,60,49,A1,en_route,unknown,unknown,unknown
321,2005-08-06,ATR-72-202,near Palermo-Punta Raisi Airport,Italy,TS-LBB,Tuninter,16,30,A1,en_route,confirmed,human_error,maintenance & crew error
322,2005-08-14,Boeing 737-31S,near Grammatikos,Greece,5B-DBY,Helios Airways,121,65,A1,en_route,probable,human_error,maintenance & crew error
323,2005-08-16,MD-82,near Machiques,Venezuela,HK-4374X,West Caribbean Airways,160,73,A1,en_route,confirmed,human_error,emergency response error
324,2005-08-23,Boeing 737-244,near Pucallpa Cap Fap David Abenzur Rengifo Airport,Peru,OB-1809-P,TANS Perú,40,42,A1,Approach,confirmed,human_error,pilot & crew error
325,2005-09-05,Antonov 26B,near Isiro-Matari Airport ,Congo (Democratic Republic),ER-AZT,"Aerocom, operating for Galaxy Incorporation",11,27,A1,approach,suspected,weather,low visibility
326,2005-09-05,Boeing 737-230,Medan-Polonia Airport ,Indonesia,PK-RIM,Mandala Airlines,149,71,A1,initial_climb,probable,human_error,pilot & crew error
327,2005-09-09,Antonov 26B,near Brazzaville,Congo (Democratic Republic),9Q-CFD,Air Kasai,13,28,A1,en_route,unknown,unknown,unknown
328,2005-10-22,Boeing 737-2L9,"Lisa Village, Ogun State",Nigeria,5N-BFN,Bellview Airlines,117,64,A1,en_route,suspected,human_error,pilot error
329,2005-12-08,Boeing 737-7H4,Chicago Midway International Airport,USA,N471WN,Southwest Airlines,1,15,A2,landing,probable,human_error,pilot error
330,2005-12-10,DC-9-32,Port Harcourt Airport ,Nigeria,5N-BFD,Sosoliso Airlines,108,62,A1,landing,probable,human_error,pilot & crew error
331,2005-12-19,Grumman G-73T Turbo Mallard,"Miami, FL",USA,N2969,Chalk's,20,32,A1,initial_climb,probable,human_error,maintenance & crew error
332,2005-12-23,Antonov 140-100,near Nardaran,Azerbaijan,4K-AZ48,Azerbaijan Airlines,23,34,A1,en_route,suspected,mechanical,unknown
333,2006-03-31,Let L-410UVP-E20,"near Rio Bonito, RJ",Brazil,PT-FSE,TEAM Linhas Aéreas,19,32,A1,en_route,probable,human_error,pilot & crew error
334,2006-04-16,Fokker F-27 Friendship 400M,Guayaramerín Airport,Bolivia,FAB-91,TAM – Transporte Aéreo Militar,1,15,A1,landing,suspected,weather,bad weather
335,2006-04-24,Antonov 32B,Lashkar Gah,Afghanistan,ZS-PDV,"Valan International Cargo Charter, operating for US Department of State",5,21,A1,landing,suspected,human_error,unknown
336,2006-05-03,Airbus A320-211,near Adler/Sochi Airport,Russia,EK32009,Armavia,113,63,A1,Approach (APR),confirmed,human_error,pilot error
337,2006-06-21,DHC-6 Twin Otter 300,near Jumla Airport,Nepal,9N-AEQ,Yeti Airlines,9,25,A1,approach,probable,human_error,pilot & crew error
338,2006-07-09,Airbus A310-324,Irkutsk Airport,Russia,F-OGYP,Sibir Airlines,125,66,A1,landing,confirmed,human_error,pilot & crew error
339,2006-07-10,Fokker F-27 Friendship 200,near Multan Airport,Pakistan,AP-BAL,Pakistan International Airlines,45,44,A1,initial_climb,confirmed,human_error,maintenance & crew error
340,2006-08-03,Antonov 28,near Bukavu,Congo (Democratic Republic),9Q-COM,TRACEP-Congo Aviation,17,31,A1,en_route,unknown,unknown,unknown
341,2006-08-22,Tupolev 154M,near Donetsk,Russia,RA-85185,Pulkovo,170,75,A1,en_route,confirmed,human_error,pilot error
342,2006-08-27,Canadair CL-600-2B19 Regional,"Lexington-Blue Grass Airport, KY",USA,N431CA,"Comair, operating for Delta Connection",49,45,A1,takeoff,confirmed,human_error,pilot & crew error
343,2006-09-01,Tupolev 154M,Mashad Airport,Iran,EP-MCF,Iran Air Tours,28,36,A1,landing,unknown,unknown,unknown
344,2006-09-29,Boeing 737-8EH,"near Peixoto Azevedo, MT",Brazil,PR-GTD,Gol,154,72,A1,en_route,probable,human_error,atc error
345,2006-10-10,British Aerospace BAe-146-200A,Stord-Sørstokken Airport ,Norway,OY-CRG,Atlantic Airways,4,20,A1,landing,probable,mechanical,mechanical failure
346,2006-10-29,Boeing 737-2B7,Abuja International Airport,Nigeria,5N-BFK,ADC Airlines,96,59,A1,initial_climb,confirmed,human_error,pilot error
347,2006-11-09,Let L-410UVP,near Walikale,Congo (Democratic Republic),9Q-CBQ,Gomair,1,15,A1,landing,suspected,mechanical,engine failure
348,2006-11-17,DHC-6 Twin Otter 300,Puncak Jaya,Indonesia,PK-YPY,Trigana Air Service,12,27,A1,en_route,unknown,unknown,unknown
349,2007-01-01,Boeing 737-4Q8,near Pambauang,Indonesia,PK-KKW,AdamAir,102,60,A1,en_route,confirmed,human_error,pilot error
350,2007-03-07,Boeing 737-497,Yogyakarta-Adisutjipto Airport ,Indonesia,PK-GZC,Garuda,21,33,A1,landing,confirmed,human_error,pilot error
351,2007-03-17,Tupolev 134A-3,Samara Airport,Russia,RA-65021,UTAir,6,22,A1,landing,confirmed,human_error,pilot & crew error
352,2007-05-05,Boeing 737-8AL,near Douala Airport,Cameroon,5Y-KYA,Kenya Airways,114,63,A1,en_route,probable,human_error,pilot error
353,2007-06-21,Let L-410UVP,near Kamina,DR Congo,9Q-CEU,Karibu Airways,1,15,A1,en_route,unknown,unknown,unknown
354,2007-06-25,Antonov 24B,Phnom Damrey,Cambodia,XU-U4A,PMT Air,22,33,A1,en_route,unknown,unknown,unknown
355,2007-06-28,Boeing 737-2M2,M'Banza Congo Airport,Angola,D2-TBP,TAAG Angola Airlines,6,22,A1,landing,unknown,unknown,unknown
356,2007-07-17,Airbus A320-233,"São Paulo-Congonhas Airport, SP",Brazil,PR-MBK,TAM Brasil,199,81,A1,landing,unknown,unknown,unknown
357,2007-08-09,DHC-6 Twin Otter 300,near Moorea-Temae Airport ,French Polynesia,F-OIQI,Air Moorea,20,32,A1,initial_climb,confirmed,mechanical,mechanical failure
358,2007-09-16,MD-82,Phuket International Airport,Thailand,HS-OMG,One-Two-Go Airlines,90,57,A1,landing,probable,human_error,pilot & crew error
359,2007-10-08,Let L-410UVP-E10A,near Cubarral,Colombia,HK-4055,Nacional de Aviación,17,31,A1,en_route,confirmed,human_error,pilot error
360,2007-11-30,MD-83,near Isparta Airport,Turkey,TC-AKM,"World Focus Airlines, operating for Atlasjet",57,48,A1,approach,probable,human_error,pilot error
361,2008-01-04,Let L-410UVP-E3,near Los Roques Airport,Venezuela,YV2081,Transaven,14,29,A1,en_route,confirmed,mechanical,mechanical failure
362,2008-01-19,Beechcraft B200 Super King Air,near Bailundo,,D2-FFK,Gira Globo,13,28,A1,approach,probable,human_error,pilot error
363,2008-02-21,ATR-42-300,near Mérida-A Carnevalli Airport ,Venezuela,YV1449,Santa Bárbara Airlines,46,44,A1,en_route,confirmed,human_error,pilot & crew error
364,2008-04-03,Antonov 28,Lawa-Antino Airport,Suriname,PZ-TSO,Blue Wing Airlines,19,32,A1,en_route,unknown,unknown,unknown
365,2008-04-15,DC-9-51,Goma Airport,Congo (Democratic Republic),9Q-CHN,Hewa Bora Airways,40,42,A1,takeoff,unknown,unknown,unknown
366,2008-04-16,Antonov 32,near Annobón Island,Equatorial Guinea,3C-5GE,Equatorial Guinea National Guard,13,28,A1,landing,unknown,unknown,unknown
367,2008-05-02,Beechcraft 1900C,near Rumbek,South Sudan,5Y-FLX,"Flex Air, operating for Southern Sudan Air Connection",21,33,A1,en_route,probable,mechanical,engine failure
368,2008-05-30,Airbus A320-233,Tegucigalpa-Toncontin Airport ,Honduras,EI-TAF,TACA Airlines,5,21,A1,landing,confirmed,human_error,pilot error
369,2008-06-10,Airbus A310-324,Khartoum-Civil Airport,Sudan,ST-ATN,Sudan Airways,30,37,A1,landing,confirmed,human_error,pilot & crew error
370,2008-07-10,Beechcraft 99A,near Puerto Montt,Chile,CC-CFM,Aerocord,9,25,A1,approach,probable,human_error,pilot error
371,2008-08-20,MD-82,Adolfo Suárez Madrid-Barajas Airport,Spain,EC-HFP,Spanair,154,72,A1,takeoff,confirmed,human_error,pilot & crew error
372,2008-08-24,Boeing 737-219,near Bishkek-Manas International Airport,Kyrgyzstan,EX-009,Itek Air,65,50,A1,approach,confirmed,human_error,pilot & crew error
373,2008-09-14,Boeing 737-505,near Perm Airport,Russia,VP-BKO,Aeroflot-Nord,88,57,A1,approach,probable,human_error,pilot error
374,2008-10-08,DHC-6 Twin Otter 300,"Lukla,Tenzin Norgey Airport",Nepal,9N-AFE,Yeti Airlines,18,31,A1,landing,probable,human_error,pilot & crew error
375,2009-02-07,Embraer 110P1 Bandeirante,near Santo António,Brazil,PT-SEA,Manaus Aerotáxi,24,34,A1,en_route,confirmed,mechanical,overloaded
376,2009-02-12,DHC-8-402 Q400,near Buffalo Niagara International Airport,USA,N200WQ,Colgan Air,50,45,A1,approach,probable,human_error,pilot error
377,2009-02-25,Boeing 737-8F2,near Amsterdam-Schiphol International Airport,Netherlands,TC-JGE,Turkish Airlines,9,25,A1,approach,confirmed,mechanical,mechanical failure
378,2009-06-01,Airbus A330-203,near São Pedro,Atlantic Ocean (nr. Brazil),F-GZCP,Air France,228,85,A1,en_route,confirmed,human_error,maintenance & crew error
379,2009-06-30,Airbus A310-324,near Mitsamiouli,Comoros,7O-ADJ,Yemenia Airways,152,72,A1,approach,probable,human_error,pilot & crew error
380,2009-07-15,Tupolev 154M,near Qazvin,Iran,EP-CPG,Caspian Airlines,168,75,A1,en_route,unknown,unknown,unknown
381,2009-07-24,Ilyushin 62M,Mashhad-Shahid Hashemi Nejad Airport ,Iran,UP-I6208,Aria Air,16,30,A1,landing,suspected,human_error,pilot error
382,2009-08-02,DHC-6 Twin Otter 300,near Oksibil Airport,Indonesia,PK-NVC,Merpati Nusantara,15,29,A1,en_route,suspected,human_error,pilot & crew error
383,2009-08-04,ATR-72-212,Koh Samui Airport,Thailand,HS-PGL,Bangkok Airways,1,15,A1,landing,unknown,unknown,unknown
384,2009-11-12,Canadair CL-600-2B19 Regional,Kigali Airport,Rwanda,5Y-JLD,"JetLink Express, operating for Rwandair Express",1,15,A1,grounded,confirmed,mechanical,mechanical failure
385,2010-01-25,Boeing 737-8AS (WL),near Beirut International Airport,Lebanon,ET-ANB,Ethiopian Airlines,90,57,A1,initial_climb,confirmed,human_error,pilot & crew error
386,2010-05-12,Airbus A330-202,near Tripoli International Airport,libya,5A-ONG,Afriqiyah Airways,103,61,A1,approach,confirmed,weather,low visibility
387,2010-05-17,Antonov 24B,Salang Pass,Afghanistan,YA-PIS,Pamir Airways,44,43,A1,en_route,suspected,weather,low visibility
388,2010-05-22,Boeing 737-8HG (WL),Mangalore-Bajpe Airport,India,VT-AXV,Air India Express,158,73,A1,landing,confirmed,human_error,pilot error
389,2010-07-28,Airbus A321-231,near Islamabad-Benazir Bhutto International Airport,Pakistan,AP-BJB,Airblue,152,72,A1,approach,confirmed,human_error,pilot error
390,2010-08-16,Boeing 737-73V (WL),San Andres Island-Gustavo Rojas Pinilla Airport,Columbia,HK-4682,AIRES Colombia,2,17,A1,landing,confirmed,human_error,pilot error
391,2010-08-24,Embraer ERJ 190-100 LR (ERJ-1,near Yichun Lindu Airport,China,B-3130,Henan Airlines,44,43,A1,landing,confirmed,human_error,pilot error
392,2010-09-13,ATR-42-320,near Puerto Ordaz Airport ,Venuzuela,YV1010,Conviasa,17,31,A1,approach,unknown,unknown,unknown
393,2010-11-04,ATR-72-212,"near Guasimal, Sancti Spiritus Province",Cuba,CU-T1549,Aerocaribbean,68,51,A1,en_route,confirmed,human_error,pilot & crew error
394,2010-12-04,Tupolev 154M,Moskva-Domodedovo Airport,Russia,RA-85744,"Aeroflot, North Kavkaz Civil Aviation Directorate, operating for Dagestan",2,17,A1,landing,confirmed,mechanical,mechanical failure
395,2011-01-01,Tupolev 154B-2,Surgut Airport,Russia,RA-85588,Kolavia,3,19,A1,grounded,probable,mechanical,electric fire
396,2011-01-09,Boeing 727-286,near Urmia (Orumiyeh) Airport,Iran,EP-IRP,Iran Air,77,54,A1,approach,suspected,weather,low visibility
397,2011-02-10,Swearingen SA227-BC Metro III,Cork Airport,Ireland,EC-ITP,"Flightline, operating for Manx2",6,22,A1,landing,suspected,weather,low visibility
398,2011-02-14,Let L-410UVP-E20,near Cerro de Hula,Honduras,HR-AUQ,Central American Airways,14,29,A1,en_route,unknown,unknown,collision
399,2011-04-04,Canadair CL-600-2B19 Regional,Kinshasa-N'Djili Airport ,Congo (Democratic Republic),4L-GAE,"Georgian Airways, operating for UN",32,38,A1,landing,suspected,weather,low visibility
400,2011-05-07,Xian MA60,near Kaimana-Utarom Airport,Indonesia,PK-MZK,Merpati Nusantara,25,35,A1,approach,confirmed,human_error,pilot error
401,2011-05-18,Saab 340A,"near Prahuaniyeu, RN",Argentina,LV-CEJ,SOL Líneas Aéreas,22,33,A1,en_route,probable,mechanical,mechanical failure
402,2011-06-20,Tupolev 134A-3,near Petrozavodsk Airport,Russia,RA-65691,"RusAir, operating for RusLine",47,44,A1,approach,confirmed,human_error,pilot & crew error
403,2011-07-08,Boeing 727-022 (WL),Kisangani-Bangoka International Airport,Congo (Democratic Republic),9Q-COP,Hewa Bora Airways,77,54,A1,landing,suspected,weather,bad weather
404,2011-07-11,Antonov 24RV,near Strezhevoy,Russia,RA-47302,Angara Airlines,7,23,A1,en_route,confirmed,human_error,maintenance & crew error
405,2011-07-13,Let L-410UVP-E20,near Recife-Guararapes International Airport,Brazil,PR-NOB,NOAR Linhas Aéreas,16,30,A1,initial_climb,suspected,mechanical,engine failure
406,2011-08-20,Boeing 737-210C,near Resolute Airport,Canada,C-GNWN,First Air,12,27,A1,approach,suspected,human_error,pilot & crew error
407,2011-09-06,Swearingen SA227-BC Metro III,near Trinidad Airport,Bolivia,CP-2548,Aerocon,8,24,A1,approach,unknown,unknown,unknown
408,2011-09-07,Yakovlev 42D,near Yaroslavl-Tunoshna Airport ,Russia,RA-42434,YAK Service,44,43,A1,initial_climb,confirmed,human_error,pilot & crew error
409,2011-09-20,Beechcraft 99A,near Milot,Haiti,HH-APA,SALSA d'Haiti,3,19,A1,en_route,unknown,unknown,collision
410,2011-09-25,Beechcraft 1900D,near Kathmandu-Tribhuvan Airport,Nepal,9N-AEK,Buddha Air,19,32,A1,approach,suspected,human_error,pilot & crew error
411,2011-09-29,CASA/Nurtanio NC-212 Aviocar 2,near Kutacane-Alas Leuser Airport ,Indonesia,PK-TLF,Nusantara Buana Air,18,31,A1,en_route,unknown,unknown,collision
412,2011-10-13,DHC-8-102,near Madang Airport,Papua New Guinea,P2-MCJ,Airlines PNG,28,36,A1,approach,suspected,mechanical,engline loss
413,2012-04-02,ATR-72-201,near Tyumen Airport,Russia,VP-BYZ,UTAir,33,39,A1,initial_climb,suspected,human_error,maintenance & crew error
414,2012-04-20,Boeing 737-236,near Islamabad-Benazir Bhutto International Airport,Pakistan,AP-BKC,Bhoja Airlines,127,66,A1,Approach,suspected,human_error,maintenance & crew error
415,2012-05-14,Dornier 228-212,near Jomsom Airport,Nepal,9N-AIG,Agni Air,15,29,A1,approach,unknown,unknown,collision
416,2012-06-03,MD-83,near Lagos Murtala Muhammed International Airport,Nigeria,5N-RAM,Dana Air,163,74,A1,approach,suspected,mechanical,engine failure
417,2012-06-29,Embraer ERJ 190-100 LR (ERJ-1,Hotan Airport,China,B-3171,Tianjin Airlines,2,17,H2,en_route,confirmed,criminal,hijacking
418,2012-08-19,Antonov 26-100,near Talodi,Sudan,ST-ARL,Alfa Airlines,32,38,A1,approach,suspected,weather,dust storm
419,2012-08-22,Let L-410UVP-E9,Ngerende Airport,Kenya,5Y-UVP,Mombasa Air Safari,4,20,A1,takeoff,unknown,unknown,unknown
420,2012-09-12,Antonov 28,near Palana Airport,Russia,RA-28715,Petropavlovsk-Kamchatsky Air Ent.,10,26,A1,approach,confirmed,human_error,pilot & crew error
421,2012-09-28,Dornier 228-202,near Kathmandu-Tribhuvan Airport,Nepal,9N-AHA,Sita Air,19,32,A1,initial_climb,suspected,mechanical,bird strike
422,2012-12-22,Swearingen SA227-AC Metro III,Sanikiluaq Airport,Canada,C-GFWX,"Perimeter Aviation, operating for Kivalliq Air",1,15,A1,landing,unknown,unknown,unknown
423,2012-12-25,Fokker 100,near Heho Airport,Myanmar,XY-AGC,Air Bagan,2,17,A1,landing,unknown,unknown,collision
424,2013-01-29,Canadair CL-600-2B19 Regional,"near Almaty Airport, Kazakhstan",Kazakhstan,UP-CJ006,SCAT Airlines,21,33,A1,approach,suspected,weather,bad weather
425,2013-02-13,Antonov 24RV,near Donetsk Airport,Ukraine,UR-WRA,South Airlines,5,21,A1,landing,confirmed,human_error,pilot error
426,2013-07-06,Boeing 777-28EER,San Franciscp,USA,HL7742,Asiana Airlines,2,17,A1,landing,suspected,human_error,pilot error
427,2013-07-07,DHC-3T Texas Turbine Otter,Soldotna Airport,USA,N93PC,Rediske Air,10,26,A1,takeoff,unknown,unknown,unknown
428,2013-10-16,ATR-72,Mekong River,Laos,RDPL-34233,Laos Airlines,49,45,A1,landing,suspected,weather,bad weather
429,2013-11-17,Boeing 747-53A,Kazan,Russia,VQ-BBN,Tatarstan Airlines,50,45,A1,landing,unknown,unknown,pilot or mechanical error
430,2013-11-29,Embraer E190,Namibia,Namibia,C9-EMC,Mozambique Airlines,33,39,A1,en_route,unknown,unknown,unknown
431,2014-02-16,DHC-6 Twin Otter 300,near Sandhikhark,Nepal,9N-ABB,Nepal Airlines,18,31,A1,en_route,suspected,weather,icing
432,2014-03-08,Boeing 777-2H6ER,South China Sea,"Malaysia, Pacific Ocean",9M-MRO,Malaysia Airlines,239,87,A1,en_route,unknown,unknown,unknown
433,2014-07-17,Boeing 777-2H6ER,near Donetsk,Ukraine,9M-MRD,Malaysia Airlines,298,96,A1,en_route,suspected,criminal,unknown
434,2014-07-23,ATR 72-500,near Magong Airport,Taiwan,B-22810,TransAsia Airways,48,45,A1,en_route,suspected,weather,unknown
435,2014-07-24,McDonnell Douglas MD-83,near Gossi ,Mali,EC-LTV,Air Algérie,116,64,A1,en_route,suspected,weather,unknown
436,2014-08-10,HESA IrAn-140-100,near  Tehran-Mehrabad Airport,Iran,EP-GPA,Sepahan Airlines,39,41,A1,initial_climb,unknown,unknown,unknown
437,2014-12-28,A320-200,coast of Borneo,Indonesia,QZ8501,AirAsia,162,74,A1,en_route,suspected,weather,unknown
438,2015-03-24,A320-211,French Alps,France,4U 9525,GermanWings,150,71,A1,en_route,suspected,unknown,criminal
439,2015-02-04,ATR 72-600,near Taipei,Taiwan,GE235,TransAsia Airways,43,43,A1,takeoff,suspected,unknown,mechanical
440,2015-10-31,Airbus A321-321,Northern Sinai,Egypt,7K-9268,Metrojet,224,85,A1,ascent,suspected,criminal,bomb
441,2016-12-07,ATR 42,Havelian,Pakistan,PK-661,Pakistan International Airlines,48,45,A1,en route,suspected,mechanical,engine failure
442,2016-05-19,Airbus A320,Sinai Peninsula,Egypt,MS804,Egypt Air,66,51,A1,en route,suspected,criminal,explosion
443,2016-03-19,Boeing 737-800,Rostov-on-Don,Russia,FZ981/FDB981,FlyDubai,62,49,A1,landing,unknown,unknown,unknown
444,2016-02-24,Viking Air DHC-6-400 Twin Otter,Dana,Nepal,9N-AHH,Tara Air,23,34,A1,en route,probable,mechanical,technical problem
445,2016-02-26,PAX 750XL,Chilkhaya,Nepal,9N-AJB,Air Kasthamandap,2,17,A1,landing,probable,mechanical,technical problem
446,2016-04-13,Britten-Norman BN-2T Turbine Islander,Kiunga,Papua New Guinea,P2-SBC,Sunbird Aviation,12,27,A1,en route,probable,mechanical,technical problem
447,,,,,,,,,,,,,
448,,,,,,,,,,,,,
449,,,,,,,,,,,,,
450,,,,,,,,,,,,,
451,,,,,,,,,,,,,
452,,,,,,,,,,,,,
453,,,,,,,,,,,,,
454,,,,,,,,,,,,,
455,,,,,,,,,,,,,
456,,,,,,,,,,,,,
